ما هي عاصمة فرنسا؟|باريس
ما هو أكبر كوكب في النظام الشمسي؟|المشتري
من هو مؤلف "1984"؟|جورج أورويل
ما هو أقرب كوكب إلى الشمس؟|عطارد
ما هي لغة البرمجة المستخدمة في تطوير بايثون؟|سي
ما هو الحيوان الذي يعتبر رمزًا للحكمة؟|البوم
ما هي القارة التي تحتوي على أكبر عدد من الدول؟|أفريقيا
ما هو أكبر محيط على وجه الأرض؟|المحيط الهادئ
من اكتشف قانون الجاذبية؟|إسحاق نيوتن
ما هو العنصر الكيميائي الذي يرمز له بـ O؟|الأكسجين
ما هي وحدة قياس الكهرباء؟|الأمبير
من هو أول إنسان مشى على سطح القمر؟|نيل أرمسترونغ
ما هي عاصمة اليابان؟|طوكيو
ما هو العنصر الأكثر وفرة في الكون؟|الهيدروجين
ما هو أقوى عضلة في جسم الإنسان؟|عضلة الفك
ما هي المادة التي تتكون منها العظام؟|الكولاجين
ما هو أعلى جبل في العالم؟|جبل إيفرست
ما هي اللغة الأكثر تحدثًا في العالم؟|الماندرين
من هو الرئيس الأمريكي الذي أطلق مشروع أبولو؟|جون كينيدي
ما هو أطول نهر في العالم؟|نهر النيل
ما هو السائل الذي يخرج من العيون عند البكاء؟|الدموع
ما هي أكبر دولة في العالم؟|روسيا
ما هو النظام الذي يستخدمه الكمبيوتر لتنفيذ الأوامر؟|نظام التشغيل
ما هو مرض السكر؟|حالة تؤثر على كيفية استخدام الجسم للسكر
ما هي أكبر جزيرة في العالم؟|غرينلاند
ما هو أقوى حيوان على وجه الأرض؟|خنفساء القوي
من هو مؤسس شركة مايكروسوفت؟|بيل غيتس
ما هي عاصمة مصر؟|القاهرة
ما هو الغاز الذي يسبب ظاهرة الاحتباس الحراري؟|ثاني أكسيد الكربون
ما هي أول جامعة في التاريخ؟|جامعة القرويين
ما هو الحيوان الذي يعتبر أطول حيوان في العالم؟|الزرافة
ما هو الشجر الذي ينتج الكاكاو؟|شجرة الكاكاو
ما هو أعلى بناء في العالم؟|برج خليفة
من هو العالم الذي اكتشف اللقاح ضد شلل الأطفال؟|جون سالك
ما هي مكونات المياه؟|هيدروجين وأكسجين
من هو الممثل الذي فاز بأكثر من جائزة أوسكار؟|كاثرين هيبورن
ما هي عاصمة إسبانيا؟|مدريد
ما هو أكبر حيوان ثديي في العالم؟|الحوت الأزرق
من هو الشاعر العربي الذي كتب "المعلقة"؟|امرؤ القيس
ما هو العلم الذي يدرس الفلك؟|علم الفلك
ما هي الطريقة التي تنتقل بها المعلومات في الدم؟|عن طريق خلايا الدم الحمراء
ما هو أكبر كائن حي على وجه الأرض؟|الفطريات
من هو الكاتب الذي ألف رواية "الأخوة كارامازوف"؟|فيودور دوستويفسكي
ما هي عاصمة كندا؟|أوتاوا
ما هو الغاز الذي يتنفسه البشر؟|الأكسجين
ما هو الحيوان الذي يمكنه تغيير لونه؟|الحبار
ما هو أكبر حقل نفطي في العالم؟|حقل الغوار
ما هي عاصمة إيطاليا؟|روما
ما هو المعدن الأكثر استخدامًا في الصناعة؟|الحديد
ما هو اسم أول إنسان في التاريخ؟|آدم
ما هي المادة التي تتكون منها جدران الخلايا؟|السليلوز
ما هي أكبر مدينة في العالم من حيث عدد السكان؟|طوكيو
من هو العالم الذي اخترع المصباح الكهربائي؟|توماس إديسون
ما هي لغة التواصل العالمية؟|الإنجليزية
ما هو أسرع حيوان في العالم؟|الصقر
ما هو الاختلاف بين الفيل الإفريقي والفيل الآسيوي؟|حجم الأذن
ما هي المسافة بين الأرض والشمس؟|حوالي 93 مليون ميل
ما هو الجهاز الذي يستخدم لقياس الضغط الجوي؟|بارومتر
ما هي العناصر الأساسية للحياة؟|الكربون، الهيدروجين، الأكسجين، النيتروجين
ما هو القانون الذي ينص على أن الجسم الساكن يبقى ساكنًا؟|قانون نيوتن الأول
ما هي السلسلة الجبلية التي تعتبر الأطول في العالم؟|جبال الأنديز
ما هو اسم المجرة التي نعيش فيها؟|درب التبانة
ما هو الطعام الذي يحتوي على أعلى نسبة من البروتين؟|صدر الدجاج
ما هو الغاز الذي يستخدم في الخلايا الشمسية؟|السيليكون
ما هي أكبر قارة في العالم؟|آسيا
ما هو الحيوان الذي يعيش في المحيطات ويعتبر الأكثر ذكاءً؟|الدلافين
ما هو القانون الذي ينص على أن لكل فعل هناك رد فعل متساوي ومعاكس؟|قانون نيوتن الثالث
ما هي أول دولة استخدمت العملة؟|ليديا
ما هو اسم المحيط الذي يفصل بين الأمريكتين وآسيا؟|المحيط الهادئ
ما هي أصغر قارة في العالم؟|أستراليا
ما هو الاختلاف بين السماء الزرقاء والشمس؟|الضوء
ما هي اللغة الرسمية في البرازيل؟|البرتغالية
ما هي عاصمة الهند؟|نيودلهي
ما هو اسم المعركة التي انتصر فيها المسلمون على الروم؟|معركة مؤتة
